Community Name,Street Address,City,State,Zip,Phone,Administrator,Owner Company,Owner Street Address,Owner City,Owner State,Owner Zip,Owner Phone,Facility License Number,Status,Number of Beds,Date of Last Survey,Date of Original Licensure,Date of Expiration,Disciplinary Actions
DEANE HILL PLACE,401 CATHERINE MCAULEY WAY,Knoxville,TN,37919,Vicky Jo Daugherty,865-690-4070,KNOXVILLE BG OPCO LLC,330 N. WABASH AVENUE SUITE 3700,Chicago,IL,60611,312-725-7000,00000088,Licensed,0124,01/14/2019,09/25/1998,05/22/2020,1 Disciplinary Action(s)
DEWITT PLACE,2131 WALTERS DRIVE,Morristown,TN,37814,Miriam Evelyn Higgins,423-585-0544,Morristown BG OPCO LLC,330 N. Wabash Avenue SUITE 3700,Chicago,IL,60611,312-725-7000,00000198,Licensed,0062,03/21/2019,10/01/1999,05/28/2020,No Disciplinary Actions
DOGWOOD BEND,160 HILLCREST,Clarksville,TN,37043,Will Henricks,931-905-1848,"CLARKSVILLE RESIDENTIAL, LLC",160 HILLCREST,Clarksville,TN,37043,931-905-1848,00000032,Licensed,0050,01/24/2019,07/01/1998,08/29/2020,1 Disciplinary Action(s)
Dominion Senior Living of Athens,2090 West Madison Avenue,Athens,TN,37303,Jessica Rhea Skelton,423-405-3075,Dominion Athens LLC,PO BOX 50123,Knoxville,TN,37950,865-225-6506,00000443,Licensed,0086,10/24/2018,10/10/2017,09/18/2020,No Disciplinary Actions
Dominion Senior Living of Bristol,425 Shelby Lane,Bristol,TN,37620,Shelby Lynn Skidmore,423-797-8080,"Dominion Bristol, LLC",PO BOX 50123,Knoxville,TN,37950,865-310-1916,00000437,Licensed,0060,09/26/2018,05/09/2017,05/08/2020,No Disciplinary Actions
DOMINION SENIOR LIVING OF CROSSVILLE,887 WOODLAND ROAD,Crossville,TN,38555,Kimberly Burgess Shallahamer,931-287-2557,DOMINION CROSSVILLE LLC,PO BOX 52067 3612 HENSON ROAD,Knoxville,TN,37950,865-251-4830,00000422,Licensed,0060,06/10/2019,07/12/2016,07/11/2020,1 Disciplinary Action(s)
DOMINION SENIOR LIVING OF HIXSON,2143 NORTHPOINT BOULEVARD,Chattanooga,TN,37343,Beth Baxter,423-847-2646,DOMINION HIXSON LLC,3612 HENSON ROAD,Knoxville,TN,37921,865-251-4831,00000429,Licensed,0084,09/26/2018,02/13/2017,02/12/2020,1 Disciplinary Action(s)
Dominion Senior Living of Johnson City,2412 Knob Creek Road,Johnson,"City,",TN,Ava Elnita Foster,423-930-9001,DOMINION WELLSPRING JOHNSON CITY LLC,5107 Homberg Drive,Knoxville,TN,37950,865-225-6506,00000402,Licensed,0084,09/25/2018,08/18/2015,08/17/2020,No Disciplinary Actions
DOMINION SENIOR LIVING OF SEVIERVILLE,1102 MEDICAL PARK COURT,Sevierville,TN,37862,Cassandra Stephens,865-365-4360,"DOMINION WELLSPRING SEVIERVILLE, LLC",PO BOX 50123,Knoxville,TN,37950,865-251-4830,00000392,Licensed,0060,07/18/2019,04/08/2014,04/07/2020,1 Disciplinary Action(s)
EAGLE CREST ASSISTED LIVING,8248 STANDIFER GAP ROAD,Chattanooga,TN,37421,DEBRA A DONOHUE,423-855-6463,TWIN EAGLES LLC,7163 FLAGRIDGE DRIVE,Ooltewah,TN,37363,423-645-9551,00000318,Licensed,0016,09/25/2018,02/04/2009,06/18/2020,No Disciplinary Actions
EIFFEL GARDENS,1025 VOLUNTEER DRIVE,Paris,TN,38242,Malissa Garner,731-642-7545,"PARIS RESIDENTIAL,LLC",1025 VOLUNTEER DRIVE,Paris,TN,38242,731-642-7545,00000049,Licensed,0048,01/23/2019,08/19/1998,12/10/2019,No Disciplinary Actions
ELIZABETH FLETCHER HOUSE,40 FLETCHER DRIVE,Pleasant,"Hill,",TN,Marguerite Bickford Snow,931-277-3518,UPLANDS RETIREMENT VILLAGE,PO BOX 168,Pleasant,"Hill,",TN,931-277-3518,00000068,Licensed,0062,07/09/2019,05/27/1999,04/08/2020,No Disciplinary Actions
ELMCROFT OF BARTLETT,3345 KIRBY WHITTEN PARKWAY,Bartlett,TN,38134,Laura Jenette Strang,901-383-6901,"EC OPCO BARTLETT, LLC",500 N. Hurstbourne Parkway Suite 200,Louisville,KY,40222,502-357-9000,00000062,Licensed,0116,04/23/2019,10/14/1999,06/10/2020,No Disciplinary Actions
ELMCROFT OF BRENTWOOD,5436 EDMONDSON PIKE,Nashville,TN,37211,Jenna Wetherholt,615-837-8006,"EC OPCO BRENTWOOD, LLC",500 N. Hurstbourne Parkway Suite 200,Louisville,KY,40222,502-357-9000,00000064,Licensed,0118,01/11/2018,12/03/1998,08/01/2020,No Disciplinary Actions
Elmcroft of Bristol,826 Meadow View Road,Bristol,TN,37620,Anita R. Plaster,423-764-4622,"EC Opco Bristol, LLC",500 North Hurstbourne Parkway Suite 200,Louisville,KY,40222,502-357-9000,00000119,Licensed,0099,03/06/2019,02/03/1999,07/27/2020,2 Disciplinary Action(s)
ELMCROFT OF HALLS,7521 ANDERSONVILLE PIKE,Knoxville,TN,37938,Samantha Beals,865-925-2668,"EC OPCO HALLS, LLC",500 N. Hurstbourne Parkway Suite 200,Louisville,KY,40222,502-357-9000,00000028,Licensed,0065,02/13/2019,07/08/1998,05/04/2020,No Disciplinary Actions
ELMCROFT OF HAMILTON PLACE,1502 GUNBARREL ROAD,Chattanooga,TN,37421,Billy Cross,423-485-9496,"EC OPCO HAMILTON PLACE, LLC",500 N. Hurstbourne Parkway Suite 200,Louisville,KY,40222,502-357-9000,00000072,Licensed,0060,10/10/2018,02/17/1999,04/23/2020,No Disciplinary Actions
ELMCROFT OF HENDERSONVILLE,1020 CARRINGTON PLACE,Hendersonville,TN,37075,Jenna Wetherholt,615-264-2440,"EC OPCO HENDERSONVILLE, LLC",500 N. Hurstbourne Parkway Suite 200,Louisville,KY,40222,502-357-9000,00000123,Licensed,0066,03/12/2019,10/04/1999,04/15/2020,No Disciplinary Actions
Elmcroft of Jackson,911 Old Humboldt Road,Jackson,TN,38305,Cynthia Haffner Milenski,731-664-7787,"EC OPCO JACKSON, LLC",500 NORTH HURSTBOURNE PARKWAY Suite 200,Louisville,KY,40222,502-357-9000,00000036,Licensed,0088,01/08/2019,07/24/1998,05/10/2020,No Disciplinary Actions
Elmcroft of Johnson City,406 E. Mountain View Road,Johnson,"City,",TN,Tammy Sue Lewis,423-282-0300,"EC Opco Johnson City, LLC",500 North Hurstbourne Parkway Suite 200,Louisville,KY,40222,502-357-9000,00000125,Licensed,0080,07/16/2019,05/24/1999,06/10/2020,No Disciplinary Actions
ELMCROFT OF KINGSPORT,901 TEASEL DRIVE,Kingsport,TN,37660,Sandra Brown,423-245-7212,"EC OPCO KINGSPORT, LLC",500 N. Hurstbourne Parkway Suite 200,Louisville,KY,40222,502-357-9000,00000121,Licensed,0064,10/17/2018,06/15/1999,07/07/2020,No Disciplinary Actions
ELMCROFT OF LEBANON,801 WEST MAIN STREET,Lebanon,TN,37087,Laci Baxter Walker,615-444-7016,"EC OPCO LEBANON TN, LLC",500 N. Hurstbourne Parkway Suite 200,Louisville,KY,40222,502-357-9000,00000138,Licensed,0082,01/08/2019,06/05/2000,04/30/2020,No Disciplinary Actions
Elmcroft of Murfreesboro,3211 Memorial Boulevard,Murfreesboro,TN,37129,Tamela Hogan Gray,615-867-9777,"EC Opco Murfreesboro, LLC",500 North Hurstbourne Parkway Suite 200,Louisville,KY,40222,502-357-9000,00000127,Licensed,0080,04/24/2019,03/12/1999,05/06/2020,No Disciplinary Actions
Elmcroft of Shallowford C/O Eclipse Senior Living,7127 Lee Highway Suite 500,Chattanooga,TN,37421,Ken McCoy,423-899-8133,"EC OPCO SHALLOWFORD, LLC",500 NORTH HURSTBOURNE PARKWAY Suite 200,Louisville,KY,40222,502-357-9000,00000063,Licensed,0113,10/30/2018,09/28/1999,11/09/2020,No Disciplinary Actions
ELMCROFT OF WEST KNOXVILLE,8024 GLEASON DRIVE,Knoxville,TN,37919,Amy Michelle Wise,865-690-3550,"EC OPCO WEST KNOXVILLE, LLC",500 NORTH HURSTBOURNE PARKWAY Suite 200,Louisville,KY,40222,502-357-9000,00000126,Licensed,0125,11/20/2018,05/15/2000,04/21/2020,No Disciplinary Actions
Family Ministries John M. Reed Center,124 JOHN M. REED HOME ROAD,Limestone,TN,37681,Brittany Boles,423-607-3145,"Family Ministries John M. Reed Center, L",124 John Reed Nursing Home Road,Limestone,TN,37682,423-607-3145,00000004,Licensed,0044,03/05/2019,09/11/1998,08/20/2020,2 Disciplinary Action(s)
FIELDSTONE PLACE,51 PATEL WAY,Clarksville,TN,37043,TONY WHITEHEAD,931-245-1000,SNH SE Tenant TRS Inc,"Two NEWTON PLACE 255 WASHINGTON STREET, STE 300",Newton,MA,02458,617-796-8350,00000255,Licensed,0052,01/29/2019,02/02/2005,06/11/2020,No Disciplinary Actions
FIRESIDE VILLA/PROVIDENCE PLACE,3535 KIRBY ROAD,Memphis,TN,38115,Annette Marlar,901-365-3665,"PSALMS, INC.",3535 KIRBY ROAD,Memphis,TN,38115,901-365-3665,00000166,Licensed,0064,03/26/2019,12/09/1998,05/17/2020,No Disciplinary Actions
FOUNTAINS OF FRANKLIN,4100 MURFREESBORO ROAD,Franklin,TN,37067,Robin Michelle Crowell,615-567-3717,"FOUNTAINS OF FRANKLIN, LLC",2202 JEFFERSON COURT,Franklin,TN,37064,615-790-7041,00000395,Licensed,0098,01/14/2019,06/04/2013,06/04/2020,No Disciplinary Actions
Foxbridge Assisted Living and Memory Care,2180 MANGUM ROAD,Memphis,TN,38134,Kristy Barton,901-377-0101,Inspirit Foxbridge Operator LLC,8000 Westpark Drive Suite 495,Mc,"Lean,",VA,703-815-5800,00000015,Licensed,0149,06/04/2019,11/18/1998,06/14/2020,2 Disciplinary Action(s)
"FREEDOM SENIOR LIVING, LLC",2951 BOYDS CREEK HIGHWAY,Sevierville,TN,37876,Gabrielle Richey,865-365-1916,"FREEDOM SENIOR LIVING, LLC",2951 BOYD CREEK HIGHWAY,Sevierville,TN,37876,865-365-1916,00000466,Licensed,0061,06/28/2018,10/03/2016,10/02/2020,1 Disciplinary Action(s)
GARDEN PLAZA OF CLEVELAND,3500 KEITH STREET,Cleveland,TN,37312,Kenneth David Bolin,423-479-4447,"CLEVELAND RETIREMENT INVESTORS, LLC",3570 KEITH STREET,Cleveland,TN,37312,423-473-5867,00000143,Licensed,0053,07/12/2018,05/10/2006,05/28/2020,No Disciplinary Actions
GARDENS OF GERMANTOWN,3179 PROFESSIONAL PLAZA DRIVE,Germantown,TN,38138,Zenqua Winston,901-755-5450,"Gardens of Germantown OPCO, LLC",216 Centerview Drive SUITE 200,Brentwood,TN,37027,615-538-3200,00000317,Licensed,0062,07/02/2019,12/30/2010,01/20/2020,1 Disciplinary Action(s)
GERMANTOWN PLANTATION SENIOR LIVING COMMUNITY,9293 POPLAR AVENUE,Germantown,TN,38139,DENISE ROMO LITTLEFIELD,901-757-4114,GERMANTOWN PLANTATION RETIREMENT COMMUNI,9293 POPLAR AVENUE,Germantown,TN,38138,901-757-4114,00000251,Licensed,0152,01/29/2019,08/02/2005,04/30/2020,No Disciplinary Actions
Good Samaritan Society-Fairfield Glade,100 Samaritan Way,Fairfield,"Glade,",TN,Michael Brandon Newman,931-456-1576,The Evangelical Lutheran Good Samaritan,4800 West 57th Street,Sioux,"Falls,",SD,605-362-3100,00000320,Licensed,0099,04/16/2019,09/22/2011,09/22/2020,No Disciplinary Actions
"Governor's Bend Retirement and Assisted Living, LLC.",1631 ZANE WHITSON DRIVE,Erwin,TN,37650,Colleen Cox,423-330-6800,Governor's Bend Retirement & Assisted Li,1631 ZANE WHITSON DRIVE,Erwin,TN,37650,423-330-6800,00000341,Licensed,0124,03/06/2018,10/08/2012,10/08/2019,No Disciplinary Actions
GRACE MANOR,1420 OLD HICKORY BLVD,Nashville,TN,37207,Matthew Brian Dickerson,615-724-0109,GRACE ADULT HOMES INC,1420 OLD HICKORY BLVD,Nashville,TN,37207,615-400-2936,00000325,Licensed,0062,07/01/2019,12/09/2010,12/09/2019,1 Disciplinary Action(s)
GREEN CREST ASSISTED LIVING CENTERS INC,55 HERBERT VOLNER LANE,Parsons,TN,38363,Laken Brasher Maxwell,731-257-1274,GREEN CREST ASSISTED LIVING CENTER INC,55 Herbert Volner Lane,Parsons,TN,38363,731-257-1274,00000417,Licensed,0040,04/17/2019,07/07/2015,07/06/2020,No Disciplinary Actions
GREENBRIER MEADOWS,436 HANNINGS LANE,Martin,TN,38237,PAM BATES,731-587-9303,"MARTIN RESIDENTIAL, LLC",436 HANNINGS LANE,Martin,TN,38237,731-587-9303,00000046,Licensed,0050,03/11/2019,08/05/1998,08/13/2020,No Disciplinary Actions
HARMONY AT VICTORY STATION,211 Fortress Boulevard,Murfreesboro,TN,37128,Donna L. Stephens,615-624-4035,Murfreesboro Operations LLC,4423 Pheasant Ridge Road Suite 301,Roanoke,VA,24014,540-562-8289,00000453,Licensed,0099,10/22/2018,11/01/2018,10/31/2019,No Disciplinary Actions
HARMONY HILL,100 JERRY F. ADKINS LANE,Huntingdon,TN,38344,Adrienne Marie Wade,731-209-4200,"HUNTINGDON RESIDENTIAL, LLC",100 JERRY F ADKINS LANE,Huntingdon,TN,38344,731-209-4200,00000107,Licensed,0054,05/15/2019,07/17/2000,04/19/2020,No Disciplinary Actions
HEARTH AT HENDERSONVILLE,419 EAST MAIN STREET,Hendersonville,TN,37075,Sheila McArdle,615-264-0779,SHP V Hendersonville LLC,7 Giralda Farms Suite 1100,Madison,NJ,07940,404-704-3794,00000321,Licensed,0155,04/03/2019,04/20/2012,04/20/2020,1 Disciplinary Action(s)
HEARTHSIDE AT CASTLE HEIGHTS,215 CASTLE HEIGHTS AVENUE NORTH,Lebanon,TN,37087,Christopher Sean Dozier,615-443-1994,HEARTHSIDE INC,215 CASTLE HEIGHTS AVENUE N,Lebanon,TN,37087,615-443-1994,00000173,Licensed,0049,01/15/2018,04/19/2001,04/23/2020,No Disciplinary Actions
Hearthside Senior Living at Collierville,601 WOLF RIVER BLVD,Collierville,TN,38017,Tammy Chappell,901-854-6590,CHP COLLIERVILLE TN TENANT CORP.,450 SOUTH ORANGE AVENUE,Orlando,FL,32801,407-650-1000,00000383,Licensed,0120,04/23/2019,03/19/2014,03/18/2020,No Disciplinary Actions
HEARTHSIDE SENIOR LIVING OF BARTLETT,7480 U.S. Highway 70,Bartlett,TN,38133,Michele L. Motes,901-266-3329,SEVENTY SENIOR CARE LLC,1000 LEGION PLACE SUITE 1600,Orlando,FL,32801,407-999-2400,00000393,Licensed,0120,03/01/2019,06/21/2016,06/20/2020,No Disciplinary Actions
HENDERSON VILLA INC,630 KINDRA DRIVE,Henderson,TN,38340,KIMBERLY LEA CLAYTON,731-435-1219,HENDERSON VILLA INC,630 KINDRA DRIVE,Henderson,TN,38340,731-435-1219,00000338,Licensed,0048,09/07/2018,11/01/2010,11/16/2019,No Disciplinary Actions
HERITAGE ASSISTED LIVING,273 S. PETERS ROAD,Knoxville,TN,37923,Angel Palmer,865-531-1999,HERITAGE AT S PETERS,4310 DALTON PIKE SE,Cleveland,TN,37323,865-888-0307,00000070,Licensed,0038,07/24/2018,10/28/1998,07/01/2020,No Disciplinary Actions
Heritage at Irene Woods,4580 S. FOREST HILL IRENE ROAD,Memphis,TN,38125,Elizabeth Marie Robertson,901-737-4735,IRENE WOODS SENIOR LIVING LLC,38525 WOODWARD AVENUE,Bloomfield,"Hills,",MI,248-686-5500,00000365,Licensed,0069,06/25/2019,09/16/2013,09/16/2020,No Disciplinary Actions
Heritage Place Assisted Living,1735 N. BROAD STREET,Lexington,TN,38351,Janelle Robertson Coffman,731-967-0005,AMERICARE AT HERITAGE PLACE ASSISTED LIV,214 N. SCOTT,Sikeston,MO,63801,573-471-1113,00000106,Licensed,0024,03/20/2019,04/16/1999,04/13/2020,No Disciplinary Actions
HERITAGE POINTE SENIOR LIVING,1030 SOUTH MAPLE AVENUE,Cookeville,TN,38501,SUSAN K. DALTON,931-520-1200,"BEACON COMPANY, LLC",1030 SOUTH MAPLE AVENUE,Cookeville,TN,38501,931-520-1200,00000278,Licensed,0066,09/12/2018,06/15/2007,05/28/2020,No Disciplinary Actions
Hickory Gardens Assisted Living by Americare,527 Old Hickory Blvd.,Madison,TN,37115,Jesse McCoy,615-865-0527,"MADISON RESIDENTIAL, LLC",527 W. OLD HICKORY BLVD,Madison,TN,37115,615-865-0527,00000248,Licensed,0042,07/24/2019,11/17/2005,04/28/2020,No Disciplinary Actions
HICKORY HILLS ALZHEIMER'S SPECIAL CARE CENTER,162 INDIAN LAKE BOULEVARD,Hendersonville,TN,37075,Marisa Denise Parker,615-826-1528,SH1 HICKORY HILLS LLC,5101 NE 82ND AVENUE SUITE 200,Vancouver,WA,98662,360-254-9442,00000432,Licensed,0066,03/26/2019,08/18/2016,08/17/2020,No Disciplinary Actions
IVY CREST ASSISTED CARE LIVING FACILITY,101 IVY LANE,Pulaski,TN,38478,LINDA WILLIAMS,931-363-3633,"IVY CREST ASSISTED LIVING, LLC",101 IVY LANE,Pulaski,TN,38478,931-363-3633,00000001,Licensed,0024,01/22/2018,07/01/1998,06/15/2020,No Disciplinary Actions
J. B. Knowles Home Assisted Living,1010 Camilla Caldwell Lane,Nashville,TN,37218,Melvin Corlew,615-840-6000,"Anthemcare Tennessee, LLC",797 Glenvista Place,Glendale,MO,63122,314-757-0131,00000079,On Probation,0100,08/15/2018,09/02/1998,05/24/2020,2 Disciplinary Action(s)
JAMESTOWNE ASSISTED LIVING,851 LAWNVILLE ROAD,Kingston,TN,37763,James Gunter,865-376-3030,"JAMESTOWNE ASSISTED LIVING, LLC",3651 PEACHTREE PARKWAY SUITE E-351,Suwanee,GA,30024,678-341-1347,00000037,Licensed,0065,10/26/2018,07/27/1998,05/29/2020,No Disciplinary Actions
Jubilee Hills,322 North Creek Boulevard,Goodlettsvlle,TN,37072,Kelly Stagg,615-712-1180,Kingsburg,280 Warfield Blvd.,Clarksville,TN,37043,931-302-8000,00000478,Licensed,0100,01/15/2019,01/25/2019,01/24/2020,No Disciplinary Actions
JUBILEE HOUSE AT WARFIELD,475 Bellamy Lane,Clarksville,TN,37043,Deborah Elms,931-217-3161,PARAMOUNT HOSPITALITY INC,280 WARFIELD BOULVARD,Clarksville,TN,37043,931-302-8000,00000512,Licensed,0110,04/17/2019,04/23/2019,04/22/2020,No Disciplinary Actions
"KEESTONE SENIOR COMMUNITY, LLC",322 KENNEDY STREET,Lawrenceburg,TN,38464,Melanie L. Staggs,931-766-4097,"KEESTONE SENIOR COMMUNITY, LLC",322 KENNEDY STREET,Lawrenceburg,TN,38464,931-766-4097,00000295,Licensed,0045,10/31/2018,07/01/2008,06/04/2020,No Disciplinary Actions
Kennington Pointe,6301 VILLAGE GROVE DRIVE,Memphis,TN,38115,Alice Jennings,901-366-6200,"VERITAS INCARE, LLC",6858 SWINNEA ROAD BUILDING 2,Southaven,MS,38671,662-510-5544,00000272,Licensed,0037,02/13/2019,07/01/2005,01/04/2020,No Disciplinary Actions
"LAFOLLETTE COURT ASSISTED LIVING COMMUNITY, INC.",139 MASSACHUSETTS AVENUE,Lafollette,TN,37766,RHONDA F. GRAVES,423-562-6730,LAFOLLETTE COURT ASSISTED & INDEPENDENT,"LIVING COMMUNITY, INC 139 MASSACHUSETTS AVENUE",La,"Follette,",TN,423-562-6730,00000217,Licensed,0055,04/16/2019,07/13/2000,06/12/2020,No Disciplinary Actions
LAKEWOOD PLACE,1125 GROVE STREET,Loudon,TN,37774,Britney Rice,865-458-4123,"LAKEWOOD PLACE LOUDON, LLC",1125 GROVE STREET,Loudon,TN,37774,865-458-4123,00000265,Licensed,0046,07/10/2018,04/06/2006,06/08/2020,No Disciplinary Actions
Legacy Assisted Living & Memory Care at Lenox Park,6551 KNIGHT ARNOLD ROAD,Memphis,TN,38115,Angela Gay Hall,901-692-9260,"Legacy AL Operating Co., LLC",2102 WAKE FOREST STREET,Virginia,"Bch,",VA,757-576-4386,00000279,On Probation,0099,08/19/2015,06/01/2006,05/29/2020,5 Disciplinary Action(s)
Legacy Village of Cleveland,2255 Candies Lane NW,Cleveland,TN,37312,Jason Mark Gibson,423-472-4700,PROVIDENCE SENIOR LIVING,2235 CANDIES LANE NW,Cleveland,TN,37312,423-478-8071,00000481,Licensed,0121,09/17/2018,09/26/2018,09/25/2020,No Disciplinary Actions
LYNNFIELD PLACE ASSISTED CARE LIVING FACILITY,150 HIGH SCHOOL ROAD,Selmer,TN,38375,Gayla N. Boyer,731-646-0064,"LYNNFIELD PLACE, INC",150 HIGH SCHOOL ROAD,Selmer,TN,38375,731-646-0064,00000222,Licensed,0048,05/08/2019,09/05/2002,01/14/2020,No Disciplinary Actions
Mabry Assisted Living,100 Jettie Mabry Lane,Gainesboro,TN,38562,Thomas J. Mabry,931-268-0291,Thomas J Mabry and Assoc. Inc.,1340 N. Grundy Quarles Highway,Gainesboro,TN,38562,931-268-0291,00000254,Licensed,0028,07/30/2019,03/08/2005,06/13/2020,No Disciplinary Actions
MAGNOLIA PLACE,811 WEST MAIN STREET,Waverly,TN,37185,Craig S. James,931-296-4131,"SENIOR LIVING, LLC",811 WEST MAIN STREET,Waverly,TN,37185,931-296-4131,00000225,Licensed,0047,12/20/2018,04/04/2003,05/11/2020,No Disciplinary Actions
MAGNOLIA PLACE,1620 N. CLOVER STREET,Union,"City,",TN,DAVID L. JOHNSON,731-885-8004,"UNION CITY RESCARE, INC",1620 NORTH CLOVER STREET,Union,"City,",TN,731-885-8004,00000234,Licensed,0042,02/05/2019,07/01/2001,05/22/2020,No Disciplinary Actions
MAIN STREET SENIOR LIVING,674 EAST MAIN STREET,Hendersonville,TN,37075,Stephen Chamberlain,615-824-4552,"S-H OPCO MAIN STREET, LLC",1920 MAIN STREET SUITE 1200,Irvine,CA,92614,206-728-9063,00000141,Licensed,0099,09/05/2018,05/03/2000,05/31/2020,No Disciplinary Actions
MANORHOUSE ASSISTED LIVING,8501 S. NORTHSHORE DRIVE,Knoxville,TN,37922,Lisa Jarvis,865-670-0504,"MANORHOUSE MANAGEMENT, INC",706 OLD STREAM ROAD,Manakin,"Sabot,",VA,804-270-7255,00000163,Licensed,0105,08/22/2018,05/04/2000,11/03/2019,1 Disciplinary Action(s)
MANORHOUSE ASSISTED LIVING,1148 MOUNTAIN CREEK ROAD,Chattanooga,TN,37405,Matthew Whitley,423-870-5900,"MANORHOUSE MANAGEMENT, INC",706 OLD STREAM ROAD,Manakin,"Sabot,",VA,804-270-7255,00000183,Licensed,0105,10/16/2018,05/04/2000,04/20/2020,No Disciplinary Actions
MAPLE COTTAGE ASSISTED LIVING,101 MAPLE DRIVE,Hendersonville,TN,37075,DALE GLASSER,615-991-5129,"Maple Cottage of Hendersonville, Inc.",330 Carellton Drive,Gallatin,TN,37066,440-343-6664,00000503,Licensed,0016,04/10/2019,07/13/2018,07/12/2020,No Disciplinary Actions
MAPLE COURT,7545 THUNDER LANE,Powell,TN,37849,James Strom,865-362-5398,NIC 19 POWELL LEASING LLC,55 West 46th Street Suite 2204,New,"York,",NY,469-304-5033,00000388,Licensed,0060,05/02/2018,07/31/2013,07/31/2020,No Disciplinary Actions
MAPLE RIDGE MANOR,705 LAKE ROAD,Dyersburg,TN,38024,BILL ABLES,731-286-6725,"MAPLE RIDGE MANOR, INC",705 LAKE ROAD,Dyersburg,TN,38024,731-286-6725,00000212,Licensed,0050,06/11/2019,12/03/1999,05/01/2020,No Disciplinary Actions
MARISTONE OF PROVIDENCE,140 PROVIDENCE TRAIL,Mount,"Juliet,",TN,Daniel Ray Phillips,615-758-1237,"140 PROVIDENCE SENIOR CARE, LLC",1000 LEGION PLACE SUITE 1600,Orlando,FL,32801,407-999-2400,00000359,Licensed,0074,08/27/2019,11/03/2011,04/15/2020,No Disciplinary Actions
Martin-Boyd Christian Home,6845 Standifer Gap Road,Chattanooga,TN,37421,Steven Everett,423-892-1020,"MARTIN-BOYD CHRISTIAN HOME, INC",6845 STANDIFER GAP ROAD,Chattanooga,TN,37421,423-892-1020,00000177,Licensed,0124,09/21/2018,12/15/1999,09/14/2020,1 Disciplinary Action(s)
"MARY, QUEEN OF ANGELS",34 WHITE BRIDGE ROAD,Nashville,TN,37205,Lyndsey Gower,615-353-6181,"MARY, QUEEN OF ANGELS, INC",34 WHITE BRIDGE ROAD,Nashville,TN,37205,615-353-6181,00000218,Licensed,0130,08/20/2018,10/26/2001,04/07/2020,No Disciplinary Actions
Maybelle Carter Senior Adult Home,208 West Due West Avenue,Madison,TN,37115,Sara Horne,615-868-2290,"Vitality MC TN, LLC",216 Centerview Drive Suite 200,Brentwood,TN,37027,615-538-3200,00000040,Licensed,0103,06/06/2018,07/29/1998,04/25/2020,No Disciplinary Actions
MCARTHUR MANOR ASSISTED LIVING,119 BRYAN AVENUE,Manchester,TN,37355,Amanda Jean Gilliam,931-954-0250,"ELITE QUALITY CARE, INC",119 BRYAN AVENUE,Manchester,TN,37355,931-954-0250,00000303,Licensed,0062,05/08/2018,04/21/2009,04/04/2020,No Disciplinary Actions
MCKENDREE VILLAGE,4347 LEBANON ROAD,Hermitage,TN,37076,Leah Jack,615-871-8895,"NASHVILLE SENIOR CARE, LLC","114 STUART ROAD NE, #305",Cleveland,TN,37312,423-584-6755,00000237,Licensed,0099,04/10/2019,05/24/2002,05/12/2020,No Disciplinary Actions
MCMINNVILLE BOARDING HOME FOR THE ELDERLY,345 GARFIELD STREET,Mc,"Minnville,",TN,Latesha Michelle Hillis,931-473-4760,McMinnville Boarding Home for the Elderl,345 Garfield Street,Mcminnville,TN,37110,931-473-7774,00000170,Licensed,0033,09/26/2018,07/01/1999,04/06/2020,No Disciplinary Actions
MEADOW VIEW SENIOR LIVING COMMUNITY,111 ACUFF LANE,Clinton,TN,37716,Pam Forgerty,865-494-5400,"MEADOW VIEW SENIOR LIVING, LLC",2202 JEFFERSON CT,Franklin,TN,37064,615-790-7041,00000344,Licensed,0049,11/15/2018,11/16/2009,05/28/2020,No Disciplinary Actions
Memory Assisted Living at Uplands Village,880 West Main Street,Pleasant,"Hill,",TN,Herschel Murner,931-277-1133,"Uplands Village, Inc.",55 West Lake Drive PO Box 168,Pleasant,"Hill,",TN,931-277-3518,00000482,Licensed,0031,09/20/2018,05/03/2017,05/02/2020,No Disciplinary Actions
MORNING POINTE OF ATHENS,1025 CRESTWAY DRIVE,Athens,TN,37303,Crystal Michelle Sutton,423-745-0608,"ATHENS SENIOR COMMUNITY, LLC",P O BOX 249 8325 HIGHWAY 60,Georgetown,TN,37336,423-238-5330,00000096,Licensed,0056,07/17/2018,10/13/1998,04/18/2020,No Disciplinary Actions
MORNING POINTE OF BRENTWOOD,1522 WILSON PIKE,Brentwood,TN,37027,Bradley James Hamilton,615-285-3455,"Brentwood Medical Investors, LLC",PO BOX 813 6020 ARBURY WAY,Ooltewah,TN,37363,423-238-5330,00000364,Licensed,0080,02/27/2019,10/08/2012,10/08/2020,No Disciplinary Actions
MORNING POINTE OF CHATTANOOGA,7620 SHALLOWFORD ROAD,Chattanooga,TN,37421-2697,Alisha Landes,423-551-4190,"SHALLOWFORD MEDICAL INVESTORS, LLC",6020 ARBURY WAY,Ooltewah,TN,37363,423-238-5330,00000137,Licensed,0069,10/31/2018,01/15/1999,12/14/2019,No Disciplinary Actions
MORNING POINTE OF CHATTANOOGA AT SHALLOWFORD,7719 SHALLOWFORD ROAD,Chattanooga,TN,37421,Michael Cody Harvey,423-296-0097,ASHWOOD MEDICAL INVESTORS LLC,PO BOX 813 6020 ARBURY WAY,Ooltewah,TN,37363,423-238-5330,00000400,Licensed,0090,10/31/2018,11/20/2014,11/20/2019,No Disciplinary Actions
